attribute,level,coefficient,ame,ame_std_error,ame_ci_lower,ame_ci_upper,p_value,significance,abs_ame
Pricing,School pays (free for families),1.2644742973885659,0.27581225817778166,0.0007557090215774519,0.27432016280708665,0.2772422595671123,6.601509680434234e-16,***,0.27581225817778166
Tutor,Female AI tutor,0.6937423070922697,0.15585997814661706,0.000398962771448469,0.1550456401083737,0.15662164389095257,4.862850973379087e-13,***,0.15585997814661706
Unknown,Role_play_Hero_astronaut_You_are_the_astronaut_in_charge_the_team_is_counting_on_you_to_complete_this_mission.,0.5762539569390331,0.12887364576640592,0.0003489620188722582,0.12820893659957736,0.12954345509130039,1.669308204984211e-09,***,0.12887364576640592
Unknown,Storytelling_Space_rescue_story_“Your_spaceship_must_deliver_medicine_to_astronauts_stranded_on_the_Moon_before_their_oxygen_runs_out.”,0.5528704145306226,0.1235635081817022,0.00035484044913992825,0.12284468683536097,0.12426390241093284,8.047724110674036e-09,***,0.1235635081817022
Unknown,Pricing_Free_trial_+_$4.99/month,0.5309558023194624,0.11694072311040232,0.0004243374336802249,0.11610470130881749,0.11774596550093147,0.0003207441562574365,***,0.11694072311040232
Unknown,Pricing_Free_trial_+_$12.99/month,-0.3771841788614508,-0.08445335073565285,0.00024107490016744308,-0.08494950279074671,-0.08400245736920452,0.014062464890923396,*,0.08445335073565285
Unknown,Pricing_Free_trial_+_$7.99/month,0.2833316770853546,0.06251649209193294,0.00021444558602305773,0.06208702756069906,0.06291495625607486,0.048636451322167686,*,0.06251649209193294
Unknown,Color_palette_Friendly_&_warm_coral_/_lavender_/_peach,0.10967194131958359,0.024311935868131573,7.830831335423808e-05,0.024163510400661777,0.024458840783636308,0.24985628795554482,n.s.,0.024311935868131573
