attribute,level,coefficient,ame,ame_std_error,ame_ci_lower,ame_ci_upper,p_value,significance,abs_ame
Pricing,School pays (free for families),1.2644742973885659,0.27581225817778166,0.0007698827266302291,0.2742103290338505,0.27727316020238885,6.601509680434234e-16,***,0.27581225817778166
Tutor,Female AI tutor,0.6937423070922697,0.15585997814661706,0.0003974576525874194,0.1550397351978558,0.1566055883844957,4.862850973379087e-13,***,0.15585997814661706
Unknown,Role_play_Hero_astronaut_You_are_the_astronaut_in_charge_the_team_is_counting_on_you_to_complete_this_mission.,0.5762539569390331,0.12887364576640592,0.00035887375570721664,0.1281801729980212,0.12956149763316158,1.669308204984211e-09,***,0.12887364576640592
Unknown,Storytelling_Space_rescue_story_“Your_spaceship_must_deliver_medicine_to_astronauts_stranded_on_the_Moon_before_their_oxygen_runs_out.”,0.5528704145306226,0.1235635081817022,0.00034965325564384627,0.1228959692543538,0.12425641877745441,8.047724110674036e-09,***,0.1235635081817022
Unknown,Pricing_Free_trial_+_$4.99/month,0.5309558023194624,0.11694072311040232,0.0004287553374972442,0.11612374119248,0.11778965573615162,0.0003207441562574365,***,0.11694072311040232
Unknown,Pricing_Free_trial_+_$12.99/month,-0.3771841788614508,-0.08445335073565285,0.00024404820780766782,-0.08493320569513392,-0.08398641822216228,0.014062464890923396,*,0.08445335073565285
Unknown,Pricing_Free_trial_+_$7.99/month,0.2833316770853546,0.06251649209193294,0.00020672470150234515,0.0620984543619643,0.06290302228901473,0.048636451322167686,*,0.06251649209193294
Unknown,Color_palette_Friendly_&_warm_coral_/_lavender_/_peach,0.10967194131958359,0.024311935868131573,7.781629863723824e-05,0.02415865478124989,0.02446374613166347,0.24985628795554482,n.s.,0.024311935868131573
