attribute,level,coefficient,ame,ame_std_error,ame_ci_lower,ame_ci_upper,p_value,significance,abs_ame
Pricing,School pays (free for families),1.2644742973885659,0.27581225817778166,0.0007450303451390709,0.2743857587587882,0.2772830787621232,6.601509680434234e-16,***,0.27581225817778166
Tutor,Female AI tutor,0.6937423070922697,0.15585997814661706,0.00039740617196797013,0.15507391153713268,0.1566423697510156,4.862850973379087e-13,***,0.15585997814661706
Role_play,Hero astronaut: You are the astronaut in charge — the team is counting on you to complete this mission.,0.5762539569390331,0.12887364576640592,0.00036615392665172674,0.12819303869063334,0.12959083066328225,1.669308204984211e-09,***,0.12887364576640592
Unknown,Storytelling_Space_rescue_story_“Your_spaceship_must_deliver_medicine_to_astronauts_stranded_on_the_Moon_before_their_oxygen_runs_out.”,0.5528704145306226,0.1235635081817022,0.00033946692587406597,0.12291687614264295,0.12423037666244624,8.047724110674036e-09,***,0.1235635081817022
Pricing,Free trial + $4.99/month,0.5309558023194624,0.11694072311040232,0.00043159760536660405,0.11608063806877303,0.11769900456032306,0.0003207441562574365,***,0.11694072311040232
Pricing,Free trial + $12.99/month,-0.3771841788614508,-0.08445335073565285,0.00024134304731010775,-0.08490652208759573,-0.08397260085657487,0.014062464890923396,*,0.08445335073565285
Pricing,Free trial + $7.99/month,0.2833316770853546,0.06251649209193294,0.00020537943919667472,0.06212729059381624,0.06293155914948162,0.048636451322167686,*,0.06251649209193294
Color_palette,Friendly & warm (coral / lavender / peach),0.10967194131958359,0.024311935868131573,7.92025005561921e-05,0.024157277452154995,0.02447119132382859,0.24985628795554482,n.s.,0.024311935868131573
