attribute,level,level_code,coefficient,p_value,pp_effect,significance,abs_effect
Pricing,School pays (free for families),school_pays,0.7568573269960777,1e-06,16.10405197966378,***,16.10405197966378
Pricing,Free trial + $12.99/month,pricing_12.99,-0.5875862045881862,1e-06,-12.502381153892886,***,12.502381153892886
Pricing,Free trial + $9.99/month,pricing_9.99,-0.26403488585720636,2.9830284535403706e-05,-5.618009332307198,***,5.618009332307198
Tutor,Male AI tutor,male_tutor,-0.17799059429331238,0.004888687008833603,-3.787199621581525,**,3.787199621581525
Tutor,Female AI tutor,female_tutor,0.17799059429331238,0.004888687008833603,3.787199621581525,**,3.787199621581525
Pricing,Free trial + $4.99/month,pricing_4.99,0.1624265619182897,0.01022312699803729,3.456035507236056,*,3.456035507236056
Role_play,Hero astronaut: You are the astronaut in charge — the team is counting on you to complete this mission.,hero_astronaut,0.1537921633789154,0.015029492594536453,3.2723168618169876,*,3.2723168618169876
Role_play,No specific role: Just design a rocket and see how it works.,no_specific_role,-0.15379216337891524,0.015029492594536453,-3.272316861816984,*,3.272316861816984
Storytelling,Space rescue story: “Your spaceship must deliver medicine to astronauts stranded on the Moon before their oxygen runs out.”,space_rescue_story,0.14447291318640096,0.022352888174088203,3.074026267065934,*,3.074026267065934
Storytelling,No story: Just design and test rockets in a sandbox-style game.,no_story,-0.14447291318640096,0.022352888174088203,-3.074026267065934,*,3.074026267065934
Pricing,Free trial + $7.99/month,pricing_7.99,-0.06766279846897547,0.28469008245886207,-1.439697000699767,n.s.,1.439697000699767
Color_palette,Tech & bold (deep blue / black / neon),tech_colors,-0.03859597861190299,0.5416922357896787,-0.821226965244532,n.s.,0.821226965244532
Color_palette,Friendly & warm (coral / lavender / peach),friendly_colors,0.03859597861190299,0.5416922357896787,0.821226965244532,n.s.,0.821226965244532
Message_failure_,"That didn’t work, but mistakes are how scientists learn. Let’s try another design.",supportive_message,0.03247181129799806,0.6076544690952455,0.690919831736668,n.s.,0.690919831736668
Message_failure_,This design didn’t launch successfully. Here is what went wrong.,neutral_message,-0.03247181129799806,0.6076544690952455,-0.690919831736668,n.s.,0.690919831736668
Message_success_,Great job — your effort and persistence helped you solve this!,growth_message,0.005843819724500861,0.9263811111202087,0.12434203019036645,n.s.,0.12434203019036645
Message_success_,You solved it so quickly — you must have a really special talent for science!,brilliance_message,-0.005843819724500861,0.9263811111202087,-0.12434203019036645,n.s.,0.12434203019036645
