attribute,level,coefficient,ame,ame_std_error,ame_ci_lower,ame_ci_upper,p_value,significance,abs_ame
Pricing,School pays (free for families),1.2644742973885659,0.27581225817778166,0.0007657151926395494,0.2741282393371794,0.27715487454160137,6.601509680434234e-16,***,0.27581225817778166
Tutor,Female AI tutor,0.6937423070922697,0.15585997814661706,0.00040950356725651734,0.15509170266529085,0.15667041334253576,4.862850973379087e-13,***,0.15585997814661706
Role_play,Hero astronaut: You are the astronaut in charge — the team is counting on you to complete this mission.,0.5762539569390331,0.12887364576640592,0.00037044331006979723,0.1281231257464712,0.1295619812059512,1.669308204984211e-09,***,0.12887364576640592
Storytelling,"Space rescue story: ""Your spaceship must deliver medicine to astronauts stranded on the Moon before their oxygen runs out.""",0.5528704145306226,0.1235635081817022,0.00034868077939431013,0.12291650310510671,0.12424341487974873,8.047724110674036e-09,***,0.1235635081817022
Pricing,Free trial + $4.99/month,0.5309558023194624,0.11694072311040232,0.00039864205832332197,0.11615973916944472,0.11769507360865555,0.0003207441562574365,***,0.11694072311040232
Pricing,Free trial + $12.99/month,-0.3771841788614508,-0.08445335073565285,0.00024173446775669182,-0.08494993560683176,-0.08397600657412045,0.014062464890923396,*,0.08445335073565285
Pricing,Free trial + $7.99/month,0.2833316770853546,0.06251649209193294,0.00020587267760728738,0.062131879345793235,0.06290353397940698,0.048636451322167686,*,0.06251649209193294
Color_palette,Friendly & warm (coral / lavender / peach),0.10967194131958359,0.024311935868131573,7.837156430263442e-05,0.0241592575870063,0.024468300504533164,0.24985628795554482,n.s.,0.024311935868131573
