attribute,level,coefficient,ame,ame_std_error,ame_ci_lower,ame_ci_upper,p_value,significance,abs_ame
Pricing,School pays (free for families),1.2644742973885659,0.27581225817778166,0.00077652651954322,0.2741693104489705,0.27730013577764945,6.601509680434234e-16,***,0.27581225817778166
Tutor,Female AI tutor,0.6937423070922697,0.15585997814661706,0.0004019732876445774,0.15511606806272457,0.15664780431074365,4.862850973379087e-13,***,0.15585997814661706
Unknown,Role_play_Hero_astronaut_You_are_the_astronaut_in_charge_the_team_is_counting_on_you_to_complete_this_mission.,0.5762539569390331,0.12887364576640592,0.00036919164675990794,0.12815444726165529,0.12960218081448818,1.669308204984211e-09,***,0.12887364576640592
Unknown,Storytelling_Space_rescue_story_“Your_spaceship_must_deliver_medicine_to_astronauts_stranded_on_the_Moon_before_their_oxygen_runs_out.”,0.5528704145306226,0.1235635081817022,0.00034824721689197507,0.12288117056888666,0.12424777181345925,8.047724110674036e-09,***,0.1235635081817022
Unknown,Pricing_Free_trial_+_$4.99/month,0.5309558023194624,0.11694072311040232,0.0004139956638113214,0.11612528448084482,0.11780114078849033,0.0003207441562574365,***,0.11694072311040232
Unknown,Pricing_Free_trial_+_$12.99/month,-0.3771841788614508,-0.08445335073565285,0.0002352538761953003,-0.08491250094967377,-0.08400456125222547,0.014062464890923396,*,0.08445335073565285
Unknown,Pricing_Free_trial_+_$7.99/month,0.2833316770853546,0.06251649209193294,0.00020451158053098228,0.0621121970319972,0.06289750559633817,0.048636451322167686,*,0.06251649209193294
Unknown,Color_palette_Friendly_&_warm_coral_/_lavender_/_peach,0.10967194131958359,0.024311935868131573,7.648007450402196e-05,0.024158931560086108,0.02446600957042931,0.24985628795554482,n.s.,0.024311935868131573
