attribute,level,coefficient,ame,ame_std_error,ame_ci_lower,ame_ci_upper,p_value,significance,abs_ame
Pricing,School pays (free for families),1.2644742973885659,0.27581225817778166,0.0007775111273379727,0.27434229352266204,0.2773811708806815,6.601509680434234e-16,***,0.27581225817778166
Tutor,Female AI tutor,0.6937423070922697,0.15585997814661706,0.0003971333255732761,0.15507973297787345,0.1566200307061484,4.862850973379087e-13,***,0.15585997814661706
Role_play,Hero astronaut: You are the astronaut in charge — the team is counting on you to complete this mission.,0.5762539569390331,0.12887364576640592,0.00036625330240012185,0.12816317476222308,0.12962839985239075,1.669308204984211e-09,***,0.12887364576640592
Storytelling,"Space rescue story: ""Your spaceship must deliver medicine to astronauts stranded on the Moon before their oxygen runs out.""",0.5528704145306226,0.1235635081817022,0.00034738950937277,0.12290676427937826,0.12426119622817634,8.047724110674036e-09,***,0.1235635081817022
Pricing,Free trial + $4.99/month,0.5309558023194624,0.11694072311040232,0.00043168977263428724,0.11601890892966357,0.11770271022594928,0.0003207441562574365,***,0.11694072311040232
Pricing,Free trial + $12.99/month,-0.3771841788614508,-0.08445335073565285,0.00024157912530835293,-0.08492235706103181,-0.08399145906779436,0.014062464890923396,*,0.08445335073565285
Pricing,Free trial + $7.99/month,0.2833316770853546,0.06251649209193294,0.0002050777435996616,0.062132938682469364,0.06291244774266072,0.048636451322167686,*,0.06251649209193294
Color_palette,Friendly & warm (coral / lavender / peach),0.10967194131958359,0.024311935868131573,8.082003082616898e-05,0.02416468645545726,0.02447741532823957,0.24985628795554482,n.s.,0.024311935868131573
